Unique Entity ID (UEI),Vendor name,Vendor physical address,State,NAICS code,Major products or service lines
CXXAWKEG1JB4,ADANTO SOFTWARE SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPOLKA KOMANDYTOWA,"ZURAWIA, NO.71<br>BIALYSTOK, NON-US 15-540",Non-US,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
FBMJWJUTP7Z2,TRADE CENTER MANAGEMENT ASSOCIATES L.L.C.,"1300 PENNSYLVANIA AVE NW<br>WASHINGTON, D.C. 200043002",District of Columbia,8711,S216
FDLJFLVDKP66,JETBLUE AIRWAYS CORPORATION,"27-01 QUEENS PLZ N<br>LONG ISLAND CITY, NEW YORK 111014020",New York,4811111,SCHEDULED PASSENGER AIR TRANSPORTATION
FJ3FD9X5L1H1,"720 STRATEGIES, LLC","601 NEW JERSEY AVE NW STE 350<br>WASHINGTON, D.C. 200015559",District of Columbia,541613,MARKETING CONSULTING SERVICES
GRQ4XLHA37H7,"AFFIRMA, LLC","3380 146TH PL SE STE 100<br>BELLEVUE, WASHINGTON 980076472",Washington,01,SIN 54151S - DA01
HJZQJHWNMJM3,1SPATIAL INC.,"8614 WESTWOOD CENTER DR STE 350<br>VIENNA, VIRGINIA 221822278",Virginia,541620,GIS SOFTWARE AND SERVICES
HKJMJP8F7MU1,KURITA AMERICA INC,"6600 94TH AVE N<br>MINNEAPOLIS, MINNESOTA 55445",Minnesota,325998,INDUSTRIAL PRODUCTS AND SERVICES Â INDUSTRIAL PRODUCTS
HYNQLKMNHKM6,"CBRE HEERY, INC.","3550 LENOX RD STE 2300<br>ATLANTA, GEORGIA 303264333",Georgia,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION
JKGUNVNCCQJ7,ARCONAS CORPORATION,"5700 KEATON CRES UNIT 1<br>MISSISSAUGA, NON-US L5R 3H5",Non-US,238390,MODULAR / OFFICE FURNITURE INSTALL
KW68LJNPMLE7,"NORTHERN TRANSITIONS, INC.","1401 W. EASTERDAY AVE<br>SAULT SAINTE MARIE, MICHIGAN 497831414",Michigan,201,JANITORIAL
L3PSX6N4KFW9,AT-AMS LLC,"PO BOX 2128<br>SAN JUAN, PUERTO RICO 00922-2128",Puerto Rico,236220,Y1AA
LAB1VT25WJM9,ALTIUM HEALTHCARE INC.,"2500 WINDY RIDGE PARKWAY STE 1400<br>ATLANTA, GEORGIA 30339",Georgia,3261600100,"PHARMACEUTICAL VIALS, CAPS AND CLOSURES"
LCVVFLQ7Y476,PLANETREE INC.,"130 DIVISION ST<br>DERBY, CONNECTICUT 06418",Connecticut,006,SERVICE - CONSULTING
LJXMD6WRZJA5,ACCU-TECH CORPORATION,"11350 OLD ROSWELL RD STE 100<br>ALPHARETTA, GEORGIA 300092292",Georgia,33411,HARDWARE
LUUMAWREV1E4,"QUALITY INSIGHTS, INC.","3001 CHESTERFIELD AVE<br>CHARLESTON, WEST VIRGINIA 253041126",West Virginia,132,HEALTH INFORMATION TECHNOLOGY SERVICES
MNALR8D818N7,AT&T CORP.,"208 S. AKARD ST<br>DALLAS, TEXAS 75202",Texas,517110,TELECOMMUNICATIONS
QJ86FJL3NBT1,AT&T CORP.,"208 S. AKARD ST<br>DALLAS, TEXAS 75202",Texas,517110,TELECOMMUNICATIONS
QLERPBSKSEZ7,"DOMINION ENERGY, INC.","120 TREDEGAR ST<br>RICHMOND, VIRGINIA 23219",Virginia,2211,"ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION"
QT2VZ9L1VPQ1,"22ND CENTURY TECHNOLOGIES, INC.","8251 GREENSBORO DR STE 900<br>MCLEAN, VIRGINIA 221024938",Virginia,0000,DA01
U1SKMRQVNM38,"MATTHEWS MEDIA GROUP, INC.","7361 CALHOUN PL STE 140<br>ROCKVILLE, MARYLAND 208505736",Maryland,1,CLINICAL TRIAL RECRUITMENT
U9PKUDH7SPX6,"11400, INC.","2551 HORSESHOE RD<br>LANCASTER, PENNSYLVANIA 17601",Pennsylvania,238290,7320
UKUPRK1KF3M2,"CBRE HEERY, INC.","8201 CORPORATE DR STE 850<br>LANDOVER, MARYLAND 207852261",Maryland,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION
WLP5Z6ENFVY5,"AMERICAN COUNCIL ON THE TEACHING OF FOREIGN LANGUAGES, INC.","1001 NORTH FAIRFAX ST STE 200<br>ALEXANDRIA, VIRGINIA 223141587",Virginia,608,R608
